country,mean_gdpPercap,digits
Afghanistan,802.674598425,2
Bahrain,18077.663945416665,2
Bangladesh,817.5588182166666,2
Cambodia,675.3678242583334,2
China,1488.3076940083333,2
"Hong Kong, China",16228.700864749999,2
India,1057.29630685,2
Indonesia,1741.3653595416667,2
Iran,7376.5829054999995,2
Iraq,7811.809116666666,2
Israel,14160.936434083334,2
Japan,17750.869984166668,2
Jordan,3128.1207616666666,2
"Korea, Dem. Rep.",2591.8525776666665,2
"Korea, Rep.",8217.318485083333,2
Kuwait,65332.91047166667,2
Lebanon,7269.21624125,2
Malaysia,5406.0381969166665,2
Mongolia,1692.80461225,2
Myanmar,439.3333333333333,2
Nepal,782.7288220833333,2
Oman,12138.562227333334,2
Pakistan,1439.2706890499999,2
Philippines,2174.771130416667,2
Saudi Arabia,20261.743635083334,2
Singapore,17425.382266666667,2
Sri Lanka,1854.7311195,2
Syria,3009.2879806666665,2
Taiwan,10224.80718075,2
Thailand,3045.966473958333,2
Vietnam,1017.7126151666666,2
West Bank and Gaza,3759.99678125,2
"Yemen, Rep.",1569.2746721416668,2
